Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,1.098632813,-0.732421815,0,-0.126586914,0.083496094,0.989013672
0.11980319,0.48828122,-0.24414061,-0.061035153,-0.125244141,0.088500977,0.995483398
0.23868084,0.061035153,0.061035153,-0.183105454,-0.12512207,0.086914063,0.993286133
0.352085114,-0.732421815,0.549316406,-0.366210908,-0.124389648,0.08984375,0.995361328
0.46427083,2.258300781,-2.807616949,1.403808475,-0.123657227,0.092407227,1.002075195
0.584404707,3.173827887,-2.563476324,0.915527284,-0.129760742,0.071655273,0.9765625
0.703127384,-0.061035153,0,0,-0.133056641,0.076904297,0.985351563
0.824024677,0.854492128,0.183105454,-0.97656244,-0.126220703,0.084716797,0.995727539
0.951035261,-3.11279273,0.549316406,-4.455566406,-0.126831055,0.043701172,0.950317383
1.109159946,-118.8354416,12.69531155,-40.83251572,-0.047241211,0.128173828,0.997436523
1.214183807,16.29638672,23.62060356,-6.347655773,0.019042969,-0.004394531,0.661621094
1.318142653,22.88818169,-22.27783012,2.502441406,-0.167114258,0.25390625,0.796020508
1.424265385,-41.01562119,1.281738162,-5.615233898,-0.112548828,0.610595703,1.036865234
1.58163476,22.70507622,12.14599514,10.86425686,-0.105102539,0.358764648,0.823852539
1.686142921,-6.591796398,42.17528915,44.98290634,-0.290649414,0.298339844,0.852294922
1.791022539,0.366210908,-46.63085556,10.00976563,0.041015625,0.282104492,0.998535156
1.895692348,80.93260956,135.559082,25.87890434,-0.610839844,0.521728516,1.190673828
2.053953171,17.15087891,2.563476324,0.48828122,-0.079589844,-0.135375977,0.764648438
2.159711838,2.197265625,-1.037597656,-0.122070305,-0.108398438,0.087036133,0.999511719
2.264074802,5.554198742,-5.981444836,1.220703125,-0.13269043,0.062866211,0.962768555
2.368185997,-4.028320313,2.380371094,-0.48828122,-0.124389648,0.082275391,0.994628906
2.526299,-0.854492128,0.061035153,0.427246064,-0.119018555,0.089111328,1.00012207
2.684238195,-6.652831554,5.004882813,-2.62451148,-0.109130859,0.107788086,1.021484375
