Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0.000000,678.588806,-97.534172,-111.511223,1.059814,-2.111694,3.964233
0.118550,530.273438,-142.883301,-182.739243,1.568970,4.000000,3.429443
0.238880,-859.191833,104.858391,255.920395,-0.340698,-1.623779,3.999878
0.358611,-138.305664,102.600090,187.011703,-3.424194,-3.996948,-1.943604
0.479251,15.563964,18.554688,-20.690916,-0.025635,0.011963,1.011719
0.599202,310.668945,172.058090,-287.719727,0.083984,-3.964355,0.609497
0.719409,725.707947,-226.501450,-139.770508,1.502563,-1.236694,3.999023
0.839255,-661.498962,82.336418,126.220695,2.223999,2.270020,3.999878
0.959698,-710.632263,207.031235,-26.428221,2.663574,-3.994385,3.835083
1.078837,100.646965,-15.258788,39.733887,0.268188,-0.267700,1.286255
1.199522,-18.005371,15.075683,-2.380371,0.324463,-0.240601,1.181519
1.319009,543.884277,-154.235840,-343.994110,2.389893,-2.249023,3.942871
1.439343,647.521912,-121.459953,-142.333984,1.996460,3.703125,3.992920
1.559728,-933.837830,57.128902,195.007309,-0.804810,-2.647705,3.983521
1.679474,-260.314941,15.869140,237.243637,-2.498291,-3.963501,-0.550171
1.799236,14.526366,4.089355,-8.605957,0.069946,-0.062988,1.109253
1.919451,255.493149,312.316895,-282.531738,-0.742065,-3.995605,-0.123779
2.038895,755.676208,-192.321762,-70.617676,1.465332,-1.602905,3.999146
2.159986,-399.291962,92.407219,144.836426,2.244507,3.176880,3.999878
2.278799,-764.526306,182.556137,-65.734863,3.414795,-3.621582,3.994995
2.459465,-2.380371,-66.223145,104.614250,0.136475,-0.158447,1.149902
2.519073,-32.592773,27.648924,-2.075195,0.042725,-0.899902,1.810303
2.698657,630.615234,-140.747070,-278.808594,2.293579,-2.489746,3.942749
2.759053,548.217773,-115.844719,-209.899887,2.160767,3.530151,3.984131
2.939334,-992.614685,68.969727,211.608871,-0.616699,-3.010376,3.999878
2.999021,-137.695312,188.476547,168.945297,-2.718140,-3.157227,-0.154541
3.119069,5.981445,-3.784179,13.854980,0.127075,-0.029785,1.067017
3.239521,432.800262,-19.287109,-97.961418,0.273804,-3.533325,3.266113
3.359495,749.816833,-146.972656,-188.842758,1.770508,-1.791382,3.999390
3.478724,-400.085419,3.845215,129.150391,0.446411,3.610229,3.999878
3.598971,-828.796326,123.046867,96.923820,-0.038940,-3.073364,3.999878
3.717796,-179.443344,-201.843246,219.909653,-0.222534,1.184448,0.461182
3.839122,-11.169433,9.338379,2.441406,0.204956,-0.063599,1.217529
3.958786,538.879395,-16.052246,-388.671844,2.470703,-2.679321,3.987305
4.078770,647.827087,-171.691879,-225.280746,2.465698,1.593872,3.999878
4.199078,-933.776794,61.523434,249.206528,0.350098,-1.342163,3.968750
4.319322,-494.750946,48.583981,227.905258,0.475586,-3.999878,0.833740
4.438969,49.987789,13.916015,-41.931149,-0.106201,0.206299,0.829590
4.559019,61.035152,140.930176,-380.798309,0.145264,-3.999878,-0.084229
4.679734,712.890564,-79.467773,-144.409180,2.000854,-2.829834,3.999878
4.798975,225.891098,-61.645504,-9.277344,0.523804,4.000000,2.380005
4.919634,-829.528748,92.834465,159.118652,1.026001,-2.040527,3.999878
5.038929,-258.666992,-314.880371,182.434067,-1.795654,-0.400391,2.105713
5.158746,-5.126953,5.187988,3.906250,0.121826,0.010986,1.136963
5.278649,896.911560,196.594223,-303.405762,3.493164,-3.951050,3.999878
5.398477,834.411560,-160.827621,-343.078583,2.660278,-2.859497,3.999878
5.518596,-1170.959473,-268.920898,-152.343750,0.464966,-3.459351,3.993042
5.639923,-641.967773,320.312500,149.780273,-0.309448,-3.999878,1.755127
5.759695,17.761230,-2.990722,-8.300781,-0.061768,0.035400,1.050049
5.879131,129.455566,409.118622,-353.942841,0.386963,-3.999878,-1.214966
5.999587,706.787048,-256.225586,-146.728516,3.149536,-2.453735,3.999878
6.180049,37.231445,-73.059082,-51.574703,0.459229,4.000000,2.601929
6.239655,-791.992126,129.638672,-59.143063,0.781128,-2.340820,3.999878
6.359432,-285.644531,-256.835938,63.720699,-1.079956,1.120117,1.664673
6.479416,5.859375,2.197266,5.981445,0.107910,0.026611,1.032471
6.598555,714.477478,-137.512207,-207.580551,1.069092,-3.611572,3.999878
6.720481,786.498962,-145.385742,-183.837875,1.423828,-1.932861,3.999878
6.840162,-618.530273,243.041977,63.049313,1.642334,2.443604,3.999878
6.957909,-634.033203,335.693329,-33.447266,2.639771,-3.999878,3.999878
