Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,0,-0.366210908,-0.366210908,-0.02746582,-0.002075195,1.009155273
0.119758368,0.061035153,-0.427246064,-0.366210908,-0.026367188,-0.001342773,1.009277344
0.231751442,0.122070305,-0.122070305,-0.305175781,-0.030151367,0.00378418,1.005371094
0.352401972,-0.366210908,-0.427246064,-0.183105454,-0.030517578,0.002563477,1.008056641
0.471639872,12.26806545,8.728027344,-4.821777344,-0.043457031,0.021240234,0.997924805
0.583894491,7.324218273,-11.41357327,-28.19824028,0.022094727,0.080566406,0.966186523
0.703957319,0.854492128,3.906249762,13.00048733,0.041992188,0.035766602,1.01171875
0.831838846,-1.098632813,13.97704983,16.78466797,0.104125977,0.097290039,0.864868164
0.98859334,-0.24414061,23.19335747,10.92529202,-0.012695313,-0.101928711,0.966430664
1.094229937,-13.1835928,8.7890625,-4.089355469,0.038330078,-0.202514648,0.882568359
1.19957304,-4.089355469,3.173827887,20.87402153,0.116821289,-0.212646484,0.904785156
1.356383085,-8.544921875,6.958007336,-12.45117092,0.0703125,-0.08605957,0.987060547
1.462487459,-5.432128429,-7.629394054,-35.76660156,0.212768555,-0.002685547,1.059692383
1.567238569,-6.408690929,-29.17480278,13.91601467,0.083984375,0.028564453,1.079833984
1.671603203,-4.943847656,-5.065917492,42.29735947,-0.000610352,-0.000854492,0.868408203
1.82938385,-1.708984256,-108.9477463,84.16747284,-0.083251953,0.030761719,1.246948242
1.934088945,4.699707031,-9.033203125,-3.479003668,-0.003051758,0.046508789,0.946533203
2.039607048,3.784179449,-1.098632813,-1.098632813,-0.029663086,-0.015991211,0.996582031
2.144352674,11.90185452,-4.516601563,-1.6479491,-0.030395508,-0.061767578,1.038085938
2.302811861,1.708984256,-2.807616949,-1.159667969,-0.033325195,-0.05859375,1.014038086
2.406415224,-0.061035153,0.366210908,1.586913943,-0.032714844,-0.047851563,1.001464844
2.511960745,-0.549316406,-0.305175781,0.793456972,-0.037109375,-0.048217773,1.00402832
2.616246939,1.098632813,2.502441406,0.183105454,-0.048828125,-0.045532227,1.007568359
2.825753927,1.6479491,4.089355469,-0.610351563,-0.031860352,-0.048583984,1.00378418
2.878940821,3.60107398,-0.183105454,-1.6479491,-0.030029297,-0.044433594,0.99621582
2.984127045,1.281738162,1.770019412,-2.136230469,-0.0390625,-0.052368164,1.002685547
3.141847134,1.098632813,2.685546637,-0.24414061,-0.022827148,-0.075805664,1.016113281
3.246518612,-3.295898199,0.610351563,-0.305175781,-0.031738281,-0.049682617,1.001831055
3.353348732,-3.356933355,0.549316406,0.427246064,-0.027954102,-0.043823242,1.00390625
3.509111881,-0.671386659,1.464843631,-0.48828122,-0.027709961,-0.046508789,1.007080078
3.614970922,-1.098632813,1.037597656,1.953124881,-0.020996094,-0.051147461,1.011230469
3.92825532,-0.305175781,-0.854492128,0.671386659,-0.022094727,-0.045288086,1.00769043
3.934252977,-0.366210908,4.455566406,2.868652105,-0.018188477,-0.0390625,1.003662109
3.93764019,5.065917492,10.68115139,0.915527284,-0.003417969,-0.041992188,1.007324219
4.087020874,29.66308403,14.95361233,-5.859374523,0.032714844,-0.106445313,1.006347656
4.191104174,48.33983994,17.45605469,-10.8032217,0.041992188,-0.075195313,1.02355957
4.296870232,109.619133,8.605957031,-45.41015244,0.638061523,-0.076904297,1.02355957
4.401916981,-29.54101372,-5.859374523,4.638671875,0.162109375,0.025756836,0.795288086
4.612185717,-55.72509384,-18.43261719,14.95361233,-0.01550293,-0.086669922,1.047973633
4.71715498,-35.88867188,23.55956841,5.187987804,0.027832031,-0.227294922,1.506713867
