x,y,category
-2.6014302,1.7902414,shaking
3.4197154,1.2668755,shaking
2.81341,3.2946687,shaking
9.892645,0.39489192,shaking
15.925881,2.787909,shaking
15.155893,1.3949665,shaking
0.7254039,5.656683,shaking
1.8817687,3.8240721,shaking
11.3621855,7.7327647,shaking
-0.5407585,5.704256,shaking
-0.8359774,5.7910833,shaking
3.245262,0.912316,shaking
-0.11699469,-1.0688013,shaking
-1.3323662,1.8268002,shaking
-2.973037,6.3682995,shaking
-3.073311,2.5967517,shaking
14.749482,2.329811,shaking
-2.29728,1.6212279,shaking
9.900936,8.529885,shaking
-3.5717049,6.1916127,shaking
1.5803148,4.062653,shaking
-2.759813,6.2057214,shaking
0.13511944,-0.09995246,shaking
1.697491,3.2693791,shaking
12.546464,3.314392,shaking
8.965918,-0.07444776,shaking
-1.0045643,-0.92945164,shaking
-2.1431732,1.8273115,shaking
8.768733,-0.016506245,shaking
1.7419819,3.9748313,shaking
-2.6596694,-2.1062346,shaking
8.8677225,0.3637567,shaking
4.916745,8.717919,shaking
4.4527674,8.955232,shaking
10.063342,8.671277,shaking
-0.16767964,-1.3981072,shaking
3.4638503,7.3432627,shaking
-2.8030667,6.2279525,shaking
-1.020392,1.7534947,shaking
-1.776628,1.8493514,shaking
2.9618144,1.2300448,shaking
13.301901,3.5129225,shaking
8.784804,0.95695347,shaking
-2.6591325,1.7621475,shaking
3.815011,7.8638587,shaking
11.19685,6.7647758,shaking
2.1928754,2.125104,shaking
-0.19135535,-1.0983728,shaking
13.299742,0.42315906,shaking
7.257657,9.224191,shaking
-4.063092,-2.3297138,shaking
5.4190693,8.142302,shaking
-3.239522,5.404491,shaking
13.377527,1.4452381,shaking
5.226867,3.1505358,shaking
0.58502156,4.7337904,shaking
9.693628,7.010453,shaking
-2.8560395,2.7612257,shaking
12.685012,5.938691,shaking
13.724006,6.727327,shaking
-3.8467774,12.655759,shaking
13.641312,0.5516312,shaking
10.418725,7.703108,shaking
15.682371,2.3128235,shaking
-0.98283756,1.5719569,shaking
14.570909,4.1801567,shaking
-0.73776954,1.984402,shaking
12.647112,7.299759,shaking
-3.2189848,12.79668,shaking
5.148314,3.4639714,shaking
4.1297274,4.5007515,shaking
-1.3100697,11.763936,shaking
-0.55249447,-1.3579136,shaking
0.70332515,4.8536534,shaking
-1.185715,11.316907,shaking
9.03892,1.660904,shaking
11.944534,2.1690185,shaking
