x,y,z,category
0.627888,1.3611364,0.03231672,shaking
3.7225316,1.8349594,3.0479956,shaking
3.1850305,3.017706,2.4215791,shaking
9.824369,1.9490266,4.1157207,shaking
13.214757,4.575584,7.4747343,shaking
12.617985,3.23894,7.383611,shaking
1.603236,4.8948946,3.6677814,shaking
2.9019544,3.5543334,3.608589,shaking
10.3058815,7.01829,3.0466435,shaking
0.837766,4.556649,4.6898146,shaking
0.66832757,4.5210032,4.8953786,shaking
3.991681,1.4948651,2.6909044,shaking
0.52619404,0.1845058,3.5172014,shaking
1.8003143,1.631451,0.7335676,shaking
-0.5990092,4.491876,6.4425306,shaking
-0.40277547,2.2429407,-0.10288577,shaking
12.713793,3.7763298,6.6568155,shaking
0.81879383,1.2455503,0.3120733,shaking
9.056474,7.2763224,2.3379111,shaking
-1.0146248,4.326078,6.921576,shaking
2.638713,3.7620413,3.7089822,shaking
-0.51224333,4.371789,6.2970448,shaking
0.99347067,0.8697134,3.0673497,shaking
2.7319186,3.0464823,3.764787,shaking
11.46769,4.590714,4.1899815,shaking
8.914544,1.6223905,4.073807,shaking
-0.14324924,0.5492957,3.239341,shaking
1.0873106,1.4287312,0.25189713,shaking
8.747663,1.5085464,4.002835,shaking
2.8058748,3.6803305,3.7455616,shaking
-1.4783293,-0.6774098,3.869635,shaking
8.828998,1.9897361,3.4773362,shaking
4.7226286,6.6051645,1.5654438,shaking
4.083695,6.348571,1.4453468,shaking
9.0883,7.4211955,2.4849784,shaking
0.33790866,0.30543613,4.016254,shaking
3.899602,6.419838,2.2113197,shaking
-0.54464525,4.37704,6.332564,shaking
1.9710021,1.5946177,0.9677245,shaking
1.4106431,1.5031469,0.42994097,shaking
3.6172893,1.5541534,3.046964,shaking
11.383409,4.558929,5.576848,shaking
9.161782,1.6625171,3.6172583,shaking
0.6011609,1.3608941,0.020984787,shaking
4.148679,6.64483,1.6827039,shaking
10.044554,6.2505937,3.4161654,shaking
2.96315,2.1596498,3.4952917,shaking
0.4445536,0.21352053,3.5243857,shaking
11.730054,2.1800814,6.300498,shaking
6.6042557,7.2715254,1.6794126,shaking
-1.9352059,-0.89266443,4.712546,shaking
5.4315414,6.3400235,0.9678861,shaking
-0.9710816,3.4133663,6.4641824,shaking
11.554445,2.9696393,6.364967,shaking
6.651548,2.8889356,2.3354223,shaking
1.6069523,4.0177975,4.0868783,shaking
9.683382,5.7491245,1.9122885,shaking
-0.36872876,2.38469,0.08286371,shaking
10.398155,6.330958,5.14899,shaking
11.903172,6.605357,4.18425,shaking
-2.6573434,10.585119,4.784836,shaking
11.7085,2.4347298,6.799517,shaking
9.479016,6.611903,2.9736245,shaking
13.006295,4.078605,7.4642177,shaking
1.8318086,1.4030051,1.0950658,shaking
12.226279,5.482708,5.933331,shaking
2.415019,1.9866142,1.0054765,shaking
11.357553,6.596453,3.4302244,shaking
-2.7844565,10.538872,4.038094,shaking
6.4269156,3.2140865,2.208276,shaking
4.349936,3.5368242,1.7992228,shaking
-0.99018246,10.008525,3.296485,shaking
0.057461638,0.50078624,3.8875358,shaking
1.7105558,4.1718063,3.9553971,shaking
-0.9950743,9.627477,2.7832158,shaking
9.745958,1.9574763,3.2503636,shaking
10.207992,3.1548948,5.0292387,shaking
7.072103,4.4030633,4.627539,shaking
12.427382,4.793631,8.632893,shaking
1.1498659,0.44346055,3.2534409,shaking
12.379181,5.034824,5.8904786,shaking
13.287744,4.3719935,7.2814736,shaking
0.5108352,2.8750467,1.097473,shaking
-0.4214094,1.9396365,-0.4359239,shaking
2.0898547,3.8637655,3.756527,shaking
2.5053067,2.0017335,1.0308796,shaking
4.656994,6.726093,1.0837412,shaking
1.0321689,4.5821605,4.4651303,shaking
0.18451966,4.420352,5.430047,shaking
7.613542,4.8568444,2.0915542,shaking
5.5286264,3.530747,1.8514019,shaking
11.204802,4.8252516,5.277259,shaking
6.6972404,7.087997,1.9503384,shaking
0.41887507,1.3543521,-0.011693845,shaking
11.110231,6.39641,3.0279524,shaking
0.48168752,7.6372876,1.5371832,shaking
10.372609,2.144735,5.5241103,shaking
11.1367855,5.7318044,6.462286,shaking
-0.86481494,4.379787,6.751018,shaking
-2.756093,-1.2390167,4.183743,shaking
1.6935365,7.154899,2.22723,shaking
7.970844,6.4162765,1.5391201,shaking
12.192614,4.860638,5.862174,shaking
1.414811,2.1672838,2.5689557,shaking
7.636511,7.3579664,1.8213022,shaking
7.1862683,2.411837,2.690904,shaking
1.3234628,4.3930235,4.229378,shaking
10.467432,1.8081124,3.752715,shaking
3.184871,2.93439,2.4944327,shaking
-0.59546876,2.0118716,-0.525847,shaking
-0.45450377,4.4387164,6.2466598,shaking
11.276019,4.374613,5.3414383,shaking
9.337755,2.2563236,4.5900326,shaking
2.6807084,3.8300724,3.715589,shaking
1.7791183,6.6254683,1.3009716,shaking
-0.80407274,1.9970297,-0.59028,shaking
-0.65246814,1.985712,-0.55133986,shaking
2.1137547,3.3566399,3.7850943,shaking
-0.52810615,4.467915,6.350735,shaking
1.6817242,3.122677,2.359207,shaking
1.9544954,2.3646722,3.7624085,shaking
11.712681,2.876456,5.789226,shaking
6.4298162,1.5485295,3.1100368,shaking
-0.5031712,1.9833395,-0.4702319,shaking
1.6324022,2.7490568,2.7084424,shaking
0.23755352,4.4574213,5.3657856,shaking
2.7432384,1.9151844,3.3871229,shaking
1.7943921,1.6202614,0.75831574,shaking
10.201107,1.7090328,5.14467,shaking
1.1739408,1.5473198,0.22349492,shaking
12.33198,6.237685,5.2679057,shaking
-0.5696737,1.996906,-0.5117182,shaking
1.5060474,5.0312834,3.6974475,shaking
9.564609,5.5809956,2.436532,shaking
-0.93014055,3.4564502,6.4337373,shaking
2.0654664,3.742237,3.7901049,shaking
-0.67471945,2.5618556,-0.04541771,shaking
11.276397,2.2168682,6.0914927,shaking
2.2021558,1.9550974,1.0015311,shaking
8.808661,3.6531155,2.8609567,shaking
